"Part";"Value";"Device";"Package";"Description";"APPLICATION_BUILDNUMBER";"BUILT_BY";"COMPTYPE";"COPYRIGHT";"DATASHEET";"DATASHEET_URL";"DESCRIPTION";"DIGIKEY";"FAMILY_NAME";"GENERIC_PART_NUMBER";"INDUSTRY_STD_PKG_TYPE";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MF";"MOUNTTYPE";"MOUSER";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGEREFERENCE";"PACKAGE_DESIGNATOR";"PARTNUMBER";"PIN_COUNT";"POPULARITY";"REFDES";"ROHS";"SOURCELIBRARY";"SPICEPREFIX";"TP_SIGNAL_NAME";"TYPE";"VALUE";"VENDOR";
"+5V";"TESTPIN";"TESTPIN";"1X01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"-5V";"TESTPIN";"TESTPIN";"1X01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"0V";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"0V_1";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"0V_2";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"0V_3";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"0V_4";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"74LVC1G11";"SN74LVC1G32DCKT";"SN74LVC1G11DBVRDBV0006A_L";"DBV0006A_L";"";"*";"";"IC";"";"";"";"";"";"";"";"";"Texas Instruments";"";"";"SMT";"";"";"";"";"DBV0006A";"";"SN74LVC1G11DBVR";"6";"";"RefDes";"Y";"";"";"";"TYPE";"Value";"";
"ADC_";"LTC2312";"LTC2312ITS8-14TRMPBF";"TSOT-23_TS8_LIT";"";"";"EMA_UL_Team";"";"";"";"";"";"LTC2312CTS8-14#TRMPBFTR-ND";"";"";"";"";"LTC2312ITS8-14#TRMPBF";"";"";"";"";"";"";"";"";"";"";"";"";"";"LinearTech_2016-05-13_6";"";"";"";"";"Linear Technology";
"ADC_IN";"TESTPIN";"TESTPIN";"1X01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ADC_REF";"TESTPIN";"TESTPIN";"1X01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ANALOG_IN";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"A_IN";"TESTPIN";"TESTPIN";"1X01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"478-7962-1-ND";"";"";"";"";"";"";"";"81-GRM21BZ71E106KE5L ";"";"";"";"";"";"";"";"88";"";"";"";"C";"";"";"";"";
"C2";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"478-7962-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"C";"";"";"";"";
"C3";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"478-7962-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"C";"";"";"";"";
