Part,Value,Device,Package,Description,Added
3V3_GOOD2,,LEDCHIPLED_0805,CHIPLED_0805,LED,y
5V_GOOD,,LEDCHIPLED_0805,CHIPLED_0805,LED,y
12V_GOOD,,LEDCHIPLED_0805,CHIPLED_0805,LED,y
C1,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C2,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C3,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C4,1u,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C5,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C6,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C7,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C8,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C9,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C10,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C11,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C12,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C13,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C14,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C15,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C16,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C17,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C18,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C19,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C20,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C21,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C22,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C23,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C24,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C25,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C26,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C27,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C28,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C29,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C30,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C31,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C32,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C33,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C34,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C35,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C36,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C37,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
C39,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",y
