Part     Value          Package                Library      Position (mil)        Orientation

1V8_GOOD                150080VS75000      led     led          (445 250)             R90
3V3_GOOD                150080VS75000      led     led          (620 250)             R270
5V_GOOD                 150080VS75000      led     led          (270 250)             R270
12V_GOOD                150080VS75000      led     led          (795 250)             R90
C1       GPC0603104           C0603                  rcl          (252.5 1185)          MR90
C2       GPC0603104           C0603                  rcl          (232.5 1335)          MR180
C3       100n           C0805                  rcl          (1272.5 1615)         R0
C4       1u             C0805                  rcl          (1272.5 1697.5)       R0
C5       GPC0603104           C0603                  rcl          (385 1185)            MR90
C6       GPC0603104                     C0603                  rcl          (365 1335)            MR180
C7       GPC0603104                     C0603                  rcl          (517.5 1185)          MR90
C8       GPC0603104                     C0603                  rcl          (497.5 1335)          MR180
C9       GPC0603104                     C0603                  rcl          (650 1185)            MR90
C10      GPC0603104                     C0603                  rcl          (630 1335)            MR180
C11      GPC0603104                     C0603                  rcl          (847.5 1185)          MR90
C12      GPC0603104                     C0603                  rcl          (827.5 1335)          MR180
C13      GPC0603104                     C0603                  rcl          (980 1185)            MR90
C14      GPC0603104                     C0603                  rcl          (960 1335)            MR180
C15      GPC0603104                     C0603                  rcl          (1245 1185)           MR90
C16      GPC0603104                     C0603                  rcl          (1092.5 1335)         MR180
C17      GPC0603104                     C0603                  rcl          (1112.5 1185)         MR90
C18      GPC0603104                     C0603                  rcl          (1225 1335)           MR180
C19      GPC0603104                     C0603                  rcl          (1515 1185)           MR90
C20      GPC0603104                     C0603                  rcl          (1495 1335)           MR180
C21      GPC0603104                     C0603                  rcl          (1647.5 1185)         MR90
C22      GPC0603104                     C0603                  rcl          (1627.5 1335)         MR180
C23      GPC0603104                     C0603                  rcl          (1780 1185)           MR90
C24      GPC0603104                     C0603                  rcl          (1760 1335)           MR180
C25      GPC0603104                     C0603                  rcl          (1912.5 1185)         MR90
C26      GPC0603104                     C0603                  rcl          (1892.5 1335)         MR180
C27      GPC0603104                     C0603                  rcl          (2110 1185)           MR90
C28      GPC0603104                     C0603                  rcl          (2090 1335)           MR180
C29      GPC0603104                     C0603                  rcl          (2242.5 1185)         MR90
C30      GPC0603104                     C0603                  rcl          (2222.5 1335)         MR180
C31      GPC0603104                     C0603                  rcl          (2375 1185)           MR90
C32      GPC0603104                     C0603                  rcl          (2355 1335)           MR180
C33      GPC0603104                     C0603                  rcl          (2507.5 1185)         MR90
C34      GPC0603104                     C0603                  rcl          (2487.5 1335)         MR180
C35      GPC0603104                     C0603                  rcl          (415 620)             R90
C36      GPC0603104                     C0603                  rcl          (485 440)             R180
C37      GPC0603104                     C0603                  rcl          (610 440)             R0
C39      GPC0603104                     C0603                  rcl          (1025 552.5)          R180
IC1      M24C02-RDW6TP         TSSOP-8                parts        (817.5 457.5)         R0
J1       5569262-1      TE_5569262-1           parts        (1358.26772 3110.23622) R180
J2       ASP-134488-01  ASP-134488-01 parts        (1358.26772 645.66929) MR180
JP1                     6-146256-0                   pinhead      (1465 205)            R0
R1       120R           GPR0805120R                  rcl          (232.5 1415)          R180
R2       100R           GPR0603100R                  rcl          (232.5 1035)          R0
R7       10k            R0603                  rcl          (1165 1060)           MR90
R22      120R           GPR0805120R                  rcl          (365 1335)            R180
R23      100R           GPR0603100R                  rcl          (365 1035)            R0
R24      120R           GPR0805120R                  rcl          (497.5 1420)          R180
R25      100R           GPR0603100R                  rcl          (497.5 1035)          R0
R26      120R           GPR0805120R                  rcl          (630 1335)            R180
R27      100R           GPR0603100R                  rcl          (630 1035)            R0
R28      120R           GPR0805120R                  rcl          (827.5 1415)          R180
R29      100R           GPR0603100R                  rcl          (827.5 1035)          R0
R30      120R           GPR0805120R                  rcl          (960 1335)            R180
R31      100R           GPR0603100R                  rcl          (960 1035)            R0
R32      120R           GPR0805120R                  rcl          (1092.5 1415)         R180
R33      100R           GPR0603100R                  rcl          (1092.5 1035)         R0
R34      120R           GPR0805120R                  rcl          (1225 1335)           R180
R35      100R           GPR0603100R                  rcl          (1225 1035)           R0
R36      120R           GPR0805120R                  rcl          (1495 1335)           R180
R37      100R           GPR0603100R                  rcl          (1495 1035)           R0
R38      120R           GPR0805120R                  rcl          (1627.5 1415)         R180
R39      100R           GPR0603100R                  rcl          (1627.5 1035)         R0
R40      120R           GPR0805120R                  rcl          (1760 1335)           R180
R41      100R           GPR0603100R                  rcl          (1760 1035)           R0
R42      120R           GPR0805120R                  rcl          (1892.5 1415)         R180
R43      100R           GPR0603100R                  rcl          (1892.5 1035)         R0
R44      120R           GPR0805120R                  rcl          (2090 1335)           R180
R45      100R           GPR0603100R                  rcl          (2090 1035)           R0
R46      120R           GPR0805120R                  rcl          (2222.5 1415)         R180
R47      100R           GPR0603100R                  rcl          (2222.5 1035)         R0
R48      120R           GPR0805120R                  rcl          (2355 1335)           R180
R49      100R           GPR0603100R                  rcl          (2355 1035)           R0
R50      120R           GPR0805120R                  rcl          (2487.5 1415)         R180
R51      100R           GPR0603100R                  rcl          (2487.5 1035)         R0
R53      330R           R0805                  resistor     (270 325)             R0
R54      1k             R0805                  resistor     (795 325)             R0
R55      10k            R0603                  rcl          (1085 1060)           MR90
R56      130R           R0805                  resistor     (620 325)             R180
R58      0R             R0603                  rcl          (1005 1060)           MR90
R60      10R            R0603                  resistor     (385 460)             R90
R61      10k            R0603                  resistor     (270 535)             R180
R62      130R           R0805                  resistor     (445 325)             R180
R65      0R             R0805                  rcl          (1245 645)            R270
R66      0R             R0805                  rcl          (1325 645)            R270
U1       ADM3066EARMZ       MSOP-10                parts        (232.5 1185)          R0
U2       ADM3066EARMZ       MSOP-10                parts        (365 1185)            R0
U3       ADM3066EARMZ       MSOP-10                parts        (497.5 1185)          R0
U4       ADM3066EARMZ       MSOP-10                parts        (630 1185)            R0
U5       ADM3066EARMZ       MSOP-10                parts        (827.5 1185)          R0
U6       ADM3066EARMZ       MSOP-10                parts        (960 1185)            R0
U7       ADM3066EARMZ       MSOP-10                parts        (1092.5 1185)         R0
U8       ADM3066EARMZ       MSOP-10                parts        (1225 1185)           R0
U9       ADM3066EARMZ       MSOP-10                parts        (1495 1185)           R0
U10      ADM3066EARMZ       MSOP-10                parts        (1627.5 1185)         R0
U11      ADM3066EARMZ       MSOP-10                parts        (1760 1185)           R0
U12      ADM3066EARMZ       MSOP-10                parts        (1892.5 1185)         R0
U13      ADM3066EARMZ       MSOP-10                parts        (2090 1185)           R0
U14      ADM3066EARMZ       MSOP-10                parts        (2222.5 1185)         R0
U15      ADM3066EARMZ       MSOP-10                parts        (2355 1185)           R0
U16      ADM3066EARMZ       MSOP-10                parts        (2487.5 1185)         R0
U18      TXS0102DCUR        VSSOP-8                parts        (480 1872.5)          R0
U19      TXS0102DCUR        VSSOP-8                parts        (892.5 1872.5)        R0
U20      TXS0102DCUR        VSSOP-8                parts        (1827.5 1872.5)       R0
U21      TXS0102DCUR        VSSOP-8                parts        (2235 1872.5)         R0
U40      DRDC3105F-7      SOT23-IRLML            parts        (270 430)             R180
X1       282837-2         W237-132               con-wago-508 (2300 165)            R180
